User,Screen Name,Location,Profile Description,Profile Image,Following,Followers,Url,Date Created,Number of Retweets,Number of Likes,Source of Tweet,Tweet,Truncated Flag,Tweet Hashtags,Reply to Status,Quote Flag
Will Sutton,WJSutton12,"London, England",#IronViz 2022 Champion | #Tableau Visionary | @tableaupublic Ambassador | Consultant at @infolabUK | 9 x #VizOfTheDay | #GamesNightViz,https://pbs.twimg.com/profile_images/1538979672314232832/VOPcgotu_normal.jpg,1044,2691,https://t.co/EfdjVnho3e,2023-02-26 20:54:24+00:00,0,2,Twitter Web App,"If you liked that viz check out the collab datasets we have available with #SportsVizSunday 🏅
Check out their lates… https://t.co/eU2HXPCdgA",True,"[{'text': 'SportsVizSunday', 'indices': [75, 91]}]",905540966.0,True
Khalid Amribet,mavenviz,,Marketing Analyst & Dataviz lover,https://pbs.twimg.com/profile_images/1516568493591871500/TY-urF18_normal.jpg,306,124,,2023-02-26 13:33:11+00:00,2,0,Twitter for Android,"RT @mrroweuk: #Sportsvizsunday - weekly round-up

Want to see fantastic vizzes covering the world of

Football ⚽️
American Sports 🏈⚾️🏒🏀
Gol…",False,"[{'text': 'Sportsvizsunday', 'indices': [14, 30]}]",,False
Kevin Flerlage,FlerlageKev,"Burlington, KY","4X Tableau Visionary (formerly known as Zen Master) | 4X Tableau Public Ambassador | https://t.co/0Pu72w5XLc | Mgr, Business Intelligence | God Loving | Views My Own",https://pbs.twimg.com/profile_images/1493239849532461061/8obCBPiX_normal.jpg,3110,14377,https://t.co/Hd8LBAnQlx,2023-02-26 13:15:48+00:00,2,0,Twitter for iPhone,"RT @mrroweuk: #Sportsvizsunday - weekly round-up

Want to see fantastic vizzes covering the world of

Football ⚽️
American Sports 🏈⚾️🏒🏀
Gol…",False,"[{'text': 'Sportsvizsunday', 'indices': [14, 30]}]",,False
Simon Rowe,mrroweuk,London,data storyteller and @tableau enthusiast | Tableau Desktop Certified Associate | 4 x #VOTD | @tonbridgeangels | Views are my own,https://pbs.twimg.com/profile_images/2363957398/image_normal.jpg,1699,1858,https://t.co/WrO1tFL0a5,2023-02-26 10:11:09+00:00,2,14,Twitter Web App,"#Sportsvizsunday - weekly round-up

Want to see fantastic vizzes covering the world of

Football ⚽️
American Sports… https://t.co/ZmLrTYO1Wc",True,"[{'text': 'Sportsvizsunday', 'indices': [0, 16]}]",,False
Mo Wootten,mo_wootten,"London, England",Senior Analyst in Sport + #Tableau Public Ambassador 2022 + #SportsVizSunday + #T1D = me  |  1 x VOTD  |  Views are my own.,https://pbs.twimg.com/profile_images/1285647484681965568/cUYirJgz_normal.jpg,1159,765,,2023-02-24 23:50:16+00:00,0,0,Twitter for iPhone,@_Lorna_Brown @TheHodge @SuperLeague Love this Lorna 🙂 great repeated bars! (Would you call it small multiples when… https://t.co/EKrGk5fgGj,True,[],4341493221.0,False
Mo Wootten,mo_wootten,"London, England",Senior Analyst in Sport + #Tableau Public Ambassador 2022 + #SportsVizSunday + #T1D = me  |  1 x VOTD  |  Views are my own.,https://pbs.twimg.com/profile_images/1285647484681965568/cUYirJgz_normal.jpg,1159,765,,2023-02-24 23:47:00+00:00,0,0,Twitter for iPhone,"@StatHunting Great thread Steve. I really don’t know much about MLB so perhaps I can use this as a way in 😄

#SportsVizSunday",False,"[{'text': 'SportsVizSunday', 'indices': [109, 125]}]",481431845.0,False
Viz,AnalystViz,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1132,73,,2023-02-23 13:29:03+00:00,7,0,Twitter for Android,"RT @mavenviz: Hello #datafam  
Check out my latest viz related to Ballon d'Or. As a sports and data enthusiast, this was an exciting exerci…",False,"[{'text': 'datafam', 'indices': [20, 28]}]",,False
𝕊𝕙𝕒𝕞𝕤𝕦𝕕𝕖𝕖𝕟✨,Royaldeen100,"Lagos, Nigeria",•Data Scientist 📊•Serial Entrepreneur • Capitalist🤑• Student of Knowledge📿•Watchgeek⌚•Madridsta⚪,https://pbs.twimg.com/profile_images/1483490453240561668/v8ffdKhP_normal.jpg,614,390,https://t.co/XVBg6Sy3WP,2023-02-23 05:35:19+00:00,7,0,Twitter for Android,"RT @mavenviz: Hello #datafam  
Check out my latest viz related to Ballon d'Or. As a sports and data enthusiast, this was an exciting exerci…",False,"[{'text': 'datafam', 'indices': [20, 28]}]",,False
Raul Finol,RaulFinol,"Toronto, Ontario",Co-Founder and CFO of @wingmensports,https://pbs.twimg.com/profile_images/1324456678792794117/VxTSa83b_normal.jpg,742,120,https://t.co/eIHgJxjMtS,2023-02-23 03:47:16+00:00,7,0,Twitter Web App,"RT @mavenviz: Hello #datafam  
Check out my latest viz related to Ballon d'Or. As a sports and data enthusiast, this was an exciting exerci…",False,"[{'text': 'datafam', 'indices': [20, 28]}]",,False
Anmol Durgapal,slothfulwave612,India,🦥,https://pbs.twimg.com/profile_images/1426544064581668867/_5qvXvqn_normal.jpg,1655,2053,,2023-02-23 03:36:52+00:00,7,0,Twitter for Android,"RT @mavenviz: Hello #datafam  
Check out my latest viz related to Ballon d'Or. As a sports and data enthusiast, this was an exciting exerci…",False,"[{'text': 'datafam', 'indices': [20, 28]}]",,False
